source,FoodID,FoodName,Protein_g_100g,Fat_g_100g,Carbs_g_100g,Fiber_g_100g,Sodium_mg_100g
,"Salmo salar (Linnaeus,1758)",743.178.743.178,-,< 0.15,0,3.09,0.23
,Thunnus spp.,576.136.576.136,-,0.0,0.0,-,0.47
,"Solea solea (Linnaeus,1758) or Solea vulgaris",400,traces,-,0.0,0.2,0.22
,Lophius spp.,417,0.0,0.0,0.0,-,3.09
,"Xiphias gladius (Linnaeus,1758)",1110.266.1110.266,-,0.0,0.0,0.0067,
,"Psetta maxima (Linnaeus,1758) or Scophtalmus maximus",497.118.497.118,-,0.0,0.0,-,0.24
,"Merluccius merluccius (Linnaeus,1758)",472.112.472.112,-,0.0,0.0,-,0.24
,"Sardina pichardus (Walbaum,1792)",812.194.812.194.64,0.0,0,0.0,-,
,Lutjanus spp.,511.121.511.121,-,-,-,0.59,1.6
,Trachyscorpia cristula echinata (Köhler 1869),533.126.533.126,-,-,-,0.73,1.32
,Theragra chalcogramma,344,0,-,0,0.0,-
,"Pollachius pollachius (Linnaeus,1758) or Merluccius merluccius (Linnaeus,1758)",425.100.425.100,-,-,-,< 0.01,1.09
,Spondyliosoma cantharus,512.121.512.121.71,-,-,-,< 0.0012,-
,Molva spp.,447.105.447.105,-,-,-,< 0.00018,2.26
,"Hippoglossus Reinhardtius (Walbaum,1792)",722.173.722.173,-,-,-,0.98,0.66
,"Anguilla anguilla (Linnaeus,1758)",955.229.955.229,-,0.0,0.0,0,2.89
,"Esox lucius (Linnaeus,1758)",425.100.425.100,-,-,-,0.27,0.077
,"Cyprinus carpio carpio (Linnaeus,1758)",633.151.633.151,-,0.0,0.0,-,0.22
,"Perca fluviatilis (Linnaeus,1758)",503.119.503.119,-,0.0,0.0,-,16
,Salmo trutta,766.183.766.183,-,0.0,0.0,-,15
,Oncorhynchus mykiss,600.143.600.143.71,0.0,0,0.0,0.21,4.56
,Pangasius bocourti (Sauvage 1880),335.79.335.79,-,-,-,< 0.01,1.44
,"Dicentrarchus labrax (Linnaeus,1758) or Morone labrax (Linnaeus,1758)",617.147.617.147,-,-,-,2.14,0.17
,Sparus aurata,620.148.620.148,-,-,-,1.79,6.41
,Roccus saxatilis,477.113.477.113,-,-,-,1.07,1.62
,"Hippoglossus hippoglossus (Linnaeus,1758)",409,traces,-,0,0.0,-
,"Limanda limanda (Linnaeus,1758)",342,traces,< 0.2,0,0.0,0.4
,Thunnus albacares,459.108.459.108,0.0,0,0.0,0.009,3.44
,"Euthynnus pelamis (Linnaeus,1758)",411,1.01,-,-,0.33,-
,"Thunnus thynnus (Linnaeus,1758)",649.155.649.155,-,-,-,1.43,1.05
,"Anarhichas lupus (Linnaeus,1758)",379,traces,-,0,0.0,2.4
,Thunnus alalunga,514.121.514.121,-,-,-,0.27,0.062
,"Engraulis encrasicolus (Linnaeus,1758)",541.129.541.129,-,-,-,1.69,12.7
,"Osmerus eperlanus (Linnaeus,1758) or Osmerus spp.",361,traces,-,0.0,0.53,-
,"Lepidorhombus whiffiagonis (Walbaum,1792) or Lepidorhombus boscii",395,traces,-,0,0.0,-
,"Mullus barbatus (Linnaeus,1758),Mullus surmuletus (Linnaeus,1758)",660.158.660.158,-,0.0,0.0,-,4.46
,Sparus aurata or Chrysophrys aurata,543.129.543.129,-,-,-,1.73,0
,"Salmo trutta forma marina (Linnaeus,1758) or Salmo trutta trutta",467.111.467.111,-,0.0,0.0,-,3.5
,"Boops boops (Linnaeus,1758)",380.90.380.90,-,0.0,0.0,-,0.46
,"Sarda sarda (Bloch,1793)",675.161.675.161.70,-,-,-,-,-
,"Scomber colias (Linnaeus,1758) or Scomber japonicus (Linnaeus,1758)",567.135.567.135,-,-,-,1.01,2.3
,"Dentex dentex (Linnaeus,1758)",418,3.5,-,-,0.45,-
,"Zeus faber  (Linnaeus,1758)",368,traces,-,0.0,0.28,0
,"Eutrigla gurnardus (Linnaeus,1758) or Trigla lucerna or Aspitigla cuculus",397.94.397.94.75.19.19,-,0,0.0,-,-
,"Sciaena umbra (Linnaeus,1758)",370,0,-,-,-,-
,"Mallotus villosus (Müller,1776) or Gadus minutus (Linnaeus,1758) or Gadus capelanus Risso",380.90.380.90,-,-,-,-,-
,"Pagellus bogaraveo (Brünnich,1768) or Beryx decadactylus (Cuvier,1829)",431.102.431.102,-,-,-,-,-
,"Boops salpa (Linnaeus,1758),Sarpa salpa",399,0,-,-,-,-
,"Trachurus trachurus (Linnaeus,1758)",487.116.487.116.78.19.19,-,0.0,-,-,-
,"Conger conger (Artedi,1738) (Linnaeus,1758)",481.115.481.115,-,0.0,0.0,-,3
,Coryphaenoides rupestris or Macrourus bergalax or Macrourus holotrachys,292,traces,-,0,0.0,-
,"Gadus luscus (Linnaeus,1758),Trisopterus iuscus (Linnaeus,1758)",346,traces,-,0,0.0,0.34
,Trichiurus lepturus,524.125.524.125,-,-,-,-,0.14
,Caranx spp.,438.104.438.104,-,-,-,-,0
,"Selar crumenophthalmus (Bloch,1793)",301,traces,-,0,0.0,-
,Lamma nasus or Isurus oxyrinchus,461.109.461.109,-,-,-,0.62,3.67
,"Belone belone (Linnaeus,1758)",558.133.558.133,-,-,-,-,0.012
,Cyclopterus lumpus,695.168.695.168,-,-,-,-,0.07
,"Abramis brama (Linnaeus,1758)",435.104.435.104.77,-,0.0,-,-,-
,"Salvelinus alpinus (Linnaeus,1758)",436.103.436.103,-,-,-,-,0.16
,"Anarhichas minor (Olafsen,1772)",454.108.454.108,-,-,-,-,2.5
,"Clupea (Sprattus) sprattus (Linnaeus,1758)",777.186.777.186,-,-,-,3.16,0.04
,"Coregonus lavaretus (Linnaeus,1758)",486.115.486.115,-,0,-,0.0,15.1
,Epinephelus spp.,349,traces,-,0,0.0,0
,Molva dypterigia,338,traces,-,0,0.0,0.17
,Cynoglossus spp.,289,traces,-,0,0.0,< 0.5
,"Dicentrarchus labrax (Linnaeus,1758)",414,traces,-,0,0.0,0.71
,Lophius budegassa,298,traces,-,0,0.0,-
,Sebastes marinus,378,traces,0.0,0.0,0.0,2.16
,Macruronus novaezelandiae or Macruronus Magellanicus,389,traces,-,0,0.0,0.47
,Macruronus novaezelandiae,319,traces,-,0,0.26,0.3
,Trigla lucerna,412,traces,-,0,0.0,-
,Merluccius capensis,330.78.330.78,< 0.3,-,< 0.3,0.008,-
,Atherina boyeri or Atherina presbyter or Atherina hepsetus,375,traces,-,0,0.0,-
,Prionace glauca,311,1.5,-,-,0.3,-
,"Parupeneus heptacanthus,Parupeneus cinnabarus,Pseudupeneus prayensis",407,traces,-,0,0.0,-
,"Acipenser sturio (Linnaeus,1758)",517.123.517.123,-,-,-,1.07,6.96
,"Ictalurus nebulosus (Le Sueur,1819) or Pangasius spp.",276,traces,0.0,0.0,0.17,1.35
,Oreochromis spp.,387,traces,-,0,0.0,0
,"Salmo trutta forma lacustris (Linnaeus,1758)",600.143.600.143,-,-,-,-,0
,"Lota lota (Linnaeus,1758)",326.77.326.77,-,0,-,-,1.56
,"Lucioperca lucioperca (Linnaeus,1758) or Sander lucioperca",351,traces,-,0,0.21,1
,Lates niloticus,349,traces,-,0,0.0,0.49
,Littorina littorea,-,-,0,-,2.1,< 0.5
,(Genus and species unknown),463.110.463.110.73,0,< 0.2,< 0.2,0.0,0.11
,Crangon crangon,381,1.47,0,-,0.28,0.11
,Homarus gammarus or Homarus americanus,385,0.11,0.0,0.0,0.0,1.43
,Mytilus spp.,457.108.457.108,< 0.15,0,< 0.15,0.72,5.87
,Buccinum undatum,415,2.69,0,traces,0.046,3.4
,Panulirus spp.,449.106.449.106,-,0.0,0.0,-,0.4
,Cancer pagurus,520.124.520.124,-,0.0,0.0,-,0.2
,Ruditapes decussatus or Mercenaria spp. Or Venus verrucosa,420,5.33,-,0,0.0,-
,Palaemon serratus,-,-,-,-,0.0,5.98
,Loligo vulgaris,632.149.632.149,-,-,-,0.27,-
,"Nephros norvegicus (Linnaeus,1758)",-,-,-,-,0.0,-
,Maja squinado,-,-,-,-,0.0,1.25
,Penaeus vannamei,-,-,-,-,0.0,-
,Penaeus monodon,-,-,-,-,0.0,-
,Penaeus brasiliensis,-,-,-,-,0.0,1.91
,Octopus vulgaris,659.156.659.156,-,-,-,0.48,3.78
,Helix spp.,338.80.338.80,< 0.2,< 0.2,< 0.2,0.75,-
,Crassostrea spp.,283,3.86,0,traces,0.23,0
,Mytilus edulis,303,2.69,-,0.0,0.49,0.077
,"Sepia officinalis,Sepia spp.",323,0.51,-,0.0,0.37,0.5
,Ruditapes decussatus or Mercenaria spp. or Venus verrucosa,339,2.66,0.0,0.16,0.46,0.15
,Mytilus galloprovincialis,290,2.77,-,-,0.0,-
,Crassostrea gigas,283,3.86,-,0.0,0.35,0.037
,Ostrea edulis,226,1.16,-,0,0.0,0
,Strombus gigas,422,8.69,-,0,0.0,0.19
,Placopecten magellanicus,345,1.78,-,-,0.0,-
,Argopecten purpuratus,376,3.1,-,0,0.0,-
,Parapeneus longirostris,392,0,-,-,0.0,-
,"Cyclopterus lumpus Linnaeus,1758",462.111.462.111.76,-,< 0.15,0,3.52,0.071
,(Genus and species unknown)v,809.193.809.193,0,0.0,0.0,< 0.05,0.073
,"Gadus morhua morhua Linnaeus,1758",614.146.614.146.67,-,-,-,1.31,-
,Salmo spp.,-,-,< 0.2,< 0.2,0,< 0.5
,"from abbey or regional (varying alcohol content)""",,0.63,-,0,-,0
,2,,,,,,
,4,,,,,,
,5,,,,,,
,6,,,,,,
,7,,,,,,
,8,,,,,,
,9,,,,,,
,10,,,,,,
,13,,,,,,
,14,,,,,,
,16,,,,,,
,17,,,,,,
,18,,,,,,
,19,,,,,,
,20,,,,,,
,21,,,,,,
,22,,,,,,
,23,,,,,,
,24,,,,,,
,25,,,,,,
,26,,,,,,
,27,,,,,,
,28,,,,,,
,29,,,,,,
,30,,,,,,
,31,,,,,,
,32,,,,,,
,33,,,,,,
,34,,,,,,
,35,,,,,,
,37,,,,,,
,38,,,,,,
,39,,,,,,
,40,,,,,,
,41,,,,,,
,42,,,,,,
,43,,,,,,
,44,,,,,,
,45,,,,,,
,46,,,,,,
,47,,,,,,
,48,,,,,,
,51,,,,,,
,52,,,,,,
,54,,,,,,
,55,,,,,,
,56,,,,,,
,57,,,,,,
,58,,,,,,
,59,,,,,,
,60,,,,,,
,61,,,,,,
,63,,,,,,
,66,,,,,,
,67,,,,,,
,68,,,,,,
,69,,,,,,
,70,,,,,,
,71,,,,,,
,72,,,,,,
,73,,,,,,
,74,,,,,,
,75,,,,,,
,76,,,,,,
,77,,,,,,
,78,,,,,,
,79,,,,,,
,80,,,,,,
,83,,,,,,
,84,,,,,,
,85,,,,,,
,86,,,,,,
,87,,,,,,
,88,,,,,,
,89,,,,,,
,90,,,,,,
,91,,,,,,
,92,,,,,,
,93,,,,,,
,96,,,,,,
,97,,,,,,
,98,,,,,,
,100,,,,,,
,101,,,,,,
,102,,,,,,
,103,,,,,,
,104,,,,,,
,105,,,,,,
,106,,,,,,
,107,,,,,,
,108,,,,,,
,109,,,,,,
,110,,,,,,
,111,,,,,,
,112,,,,,,
,113,,,,,,
,114,,,,,,
,115,,,,,,
,116,,,,,,
,117,,,,,,
,118,,,,,,
,119,,,,,,
,120,,,,,,
,122,,,,,,
,123,,,,,,
,124,,,,,,
,125,,,,,,
,126,,,,,,
,127,,,,,,
,129,,,,,,
,130,,,,,,
,132,,,,,,
,133,,,,,,
,134,,,,,,
,136,,,,,,
,137,,,,,,
,138,,,,,,
,139,,,,,,
,140,,,,,,
,147,,,,,,
,150,,,,,,
,151,,,,,,
,152,,,,,,
,153,,,,,,
,160,,,,,,
,163,,,,,,
,164,,,,,,
,169,,,,,,
,170,,,,,,
,171,,,,,,
,172,,,,,,
,173,,,,,,
,174,,,,,,
,175,,,,,,
,176,,,,,,
,177,,,,,,
,178,,,,,,
,179,,,,,,
,180,,,,,,
,181,,,,,,
,182,,,,,,
,183,,,,,,
,184,,,,,,
,185,,,,,,
,186,,,,,,
,187,,,,,,
,188,,,,,,
,189,,,,,,
,190,,,,,,
,191,,,,,,
,192,,,,,,
,193,,,,,,
,194,,,,,,
,195,,,,,,
,196,,,,,,
,197,,,,,,
,198,,,,,,
,199,,,,,,
,200,,,,,,
,201,,,,,,
,202,,,,,,
,203,,,,,,
,204,,,,,,
,205,,,,,,
,206,,,,,,
,207,,,,,,
,209,,,,,,
,210,,,,,,
,211,,,,,,
,212,,,,,,
,213,,,,,,
,214,,,,,,
,215,,,,,,
,216,,,,,,
,217,,,,,,
,218,,,,,,
,219,,,,,,
,232,,,,,,
,283,,,,,,
,285,,,,,,
,286,,,,,,
,287,,,,,,
,291,,,,,,
,293,,,,,,
,394,,,,,,
,414,,,,,,
,415,,,,,,
,416,,,,,,
,417,,,,,,
,418,,,,,,
,419,,,,,,
,420,,,,,,
,422,,,,,,
,423,,,,,,
,424,,,,,,
,426,,,,,,
,428,,,,,,
,429,,,,,,
,430,,,,,,
,432,,,,,,
,433,,,,,,
,434,,,,,,
,435,,,,,,
,436,,,,,,
,437,,,,,,
,438,,,,,,
,439,,,,,,
,440,,,,,,
,441,,,,,,
,442,,,,,,
,443,,,,,,
,444,,,,,,
,445,,,,,,
,446,,,,,,
,447,,,,,,
,448,,,,,,
,449,,,,,,
,450,,,,,,
,451,,,,,,
,452,,,,,,
,453,,,,,,
,454,,,,,,
,455,,,,,,
,456,,,,,,
,457,,,,,,
,458,,,,,,
,459,,,,,,
,460,,,,,,
,461,,,,,,
,462,,,,,,
,463,,,,,,
,464,,,,,,
,523,,,,,,
,524,,,,,,
,525,,,,,,
,526,,,,,,
,527,,,,,,
,528,,,,,,
,529,,,,,,
,530,,,,,,
,531,,,,,,
,532,,,,,,
,533,,,,,,
,534,,,,,,
,535,,,,,,
,539,,,,,,
,540,,,,,,
,541,,,,,,
,542,,,,,,
,543,,,,,,
,544,,,,,,
,545,,,,,,
,546,,,,,,
,547,,,,,,
,548,,,,,,
,550,,,,,,
,552,,,,,,
,555,,,,,,
,556,,,,,,
,557,,,,,,
,558,,,,,,
,559,,,,,,
,560,,,,,,
,561,,,,,,
,562,,,,,,
,563,,,,,,
,564,,,,,,
,565,,,,,,
,566,,,,,,
,567,,,,,,
,568,,,,,,
,569,,,,,,
,570,,,,,,
,571,,,,,,
,572,,,,,,
,573,,,,,,
,574,,,,,,
,575,,,,,,
,576,,,,,,
,577,,,,,,
,578,,,,,,
,579,,,,,,
,580,,,,,,
,581,,,,,,
,582,,,,,,
,583,,,,,,
,584,,,,,,
,585,,,,,,
,586,,,,,,
,587,,,,,,
,588,,,,,,
,589,,,,,,
,590,,,,,,
,591,,,,,,
,592,,,,,,
,593,,,,,,
,594,,,,,,
,595,,,,,,
,596,,,,,,
,597,,,,,,
,598,,,,,,
,599,,,,,,
,600,,,,,,
,601,,,,,,
,602,,,,,,
,603,,,,,,
,604,,,,,,
,605,,,,,,
,606,,,,,,
,607,,,,,,
,608,,,,,,
,609,,,,,,
,610,,,,,,
,611,,,,,,
,612,,,,,,
,613,,,,,,
,614,,,,,,
,615,,,,,,
,616,,,,,,
,617,,,,,,
,618,,,,,,
,619,,,,,,
,620,,,,,,
,621,,,,,,
,622,,,,,,
,623,,,,,,
,624,,,,,,
,625,,,,,,
,626,,,,,,
,627,,,,,,
,628,,,,,,
,629,,,,,,
,630,,,,,,
,631,,,,,,
,632,,,,,,
,633,,,,,,
,634,,,,,,
,635,,,,,,
,636,,,,,,
,637,,,,,,
,638,,,,,,
,639,,,,,,
,640,,,,,,
,641,,,,,,
,642,,,,,,
,643,,,,,,
,644,,,,,,
,645,,,,,,
,646,,,,,,
,647,,,,,,
,648,,,,,,
,649,,,,,,
,650,,,,,,
,651,,,,,,
,652,,,,,,
,653,,,,,,
,654,,,,,,
,655,,,,,,
,656,,,,,,
,657,,,,,,
,658,,,,,,
,659,,,,,,
,660,,,,,,
,661,,,,,,
,662,,,,,,
,663,,,,,,
,664,,,,,,
,665,,,,,,
,666,,,,,,
,667,,,,,,
,668,,,,,,
,669,,,,,,
,670,,,,,,
,671,,,,,,
,672,,,,,,
,673,,,,,,
,674,,,,,,
,675,,,,,,
,676,,,,,,
,677,,,,,,
,678,,,,,,
,679,,,,,,
,680,,,,,,
,681,,,,,,
,682,,,,,,
,683,,,,,,
,684,,,,,,
,685,,,,,,
,688,,,,,,
,689,,,,,,
,690,,,,,,
,691,,,,,,
,692,,,,,,
,693,,,,,,
,694,,,,,,
,695,,,,,,
,696,,,,,,
,697,,,,,,
,698,,,,,,
,699,,,,,,
,700,,,,,,
,701,,,,,,
,702,,,,,,
,703,,,,,,
,704,,,,,,
,705,,,,,,
,706,,,,,,
,707,,,,,,
,708,,,,,,
,709,,,,,,
,710,,,,,,
,711,,,,,,
,712,,,,,,
,713,,,,,,
,714,,,,,,
,715,,,,,,
,716,,,,,,
,717,,,,,,
,718,,,,,,
,719,,,,,,
,722,,,,,,
,723,,,,,,
,724,,,,,,
,725,,,,,,
,728,,,,,,
,729,,,,,,
,730,,,,,,
,731,,,,,,
,732,,,,,,
,733,,,,,,
,734,,,,,,
,735,,,,,,
,740,,,,,,
,741,,,,,,
,742,,,,,,
,743,,,,,,
,744,,,,,,
,745,,,,,,
,746,,,,,,
,747,,,,,,
,748,,,,,,
,749,,,,,,
,750,,,,,,
,751,,,,,,
,754,,,,,,
,755,,,,,,
,756,,,,,,
,757,,,,,,
,760,,,,,,
,761,,,,,,
,762,,,,,,
,763,,,,,,
,764,,,,,,
,765,,,,,,
,766,,,,,,
,767,,,,,,
,770,,,,,,
,771,,,,,,
,772,,,,,,
,773,,,,,,
,774,,,,,,
,775,,,,,,
,778,,,,,,
,779,,,,,,
,780,,,,,,
,781,,,,,,
,784,,,,,,
,785,,,,,,
,786,,,,,,
,787,,,,,,
,788,,,,,,
,789,,,,,,
,790,,,,,,
,791,,,,,,
,794,,,,,,
,795,,,,,,
,796,,,,,,
,797,,,,,,
,798,,,,,,
,799,,,,,,
,800,,,,,,
,802,,,,,,
,804,,,,,,
,805,,,,,,
,810,,,,,,
,811,,,,,,
,812,,,,,,
,813,,,,,,
,815,,,,,,
,816,,,,,,
,817,,,,,,
,818,,,,,,
,819,,,,,,
,820,,,,,,
,821,,,,,,
,822,,,,,,
,823,,,,,,
,824,,,,,,
,831,,,,,,
,832,,,,,,
,833,,,,,,
,834,,,,,,
,835,,,,,,
,836,,,,,,
,837,,,,,,
,838,,,,,,
,839,,,,,,
,840,,,,,,
,841,,,,,,
,842,,,,,,
,843,,,,,,
,844,,,,,,
,845,,,,,,
,846,,,,,,
,847,,,,,,
,848,,,,,,
,849,,,,,,
,850,,,,,,
,851,,,,,,
,852,,,,,,
,853,,,,,,
,854,,,,,,
,855,,,,,,
,886,,,,,,
,887,,,,,,
,918,,,,,,
,919,,,,,,
,923,,,,,,
,924,,,,,,
,926,,,,,,
,927,,,,,,
,928,,,,,,
,929,,,,,,
,930,,,,,,
,931,,,,,,
,932,,,,,,
,933,,,,,,
,934,,,,,,
,935,,,,,,
,936,,,,,,
,937,,,,,,
,938,,,,,,
,939,,,,,,
,940,,,,,,
,944,,,,,,
,945,,,,,,
,946,,,,,,
,947,,,,,,
,948,,,,,,
,949,,,,,,
,950,,,,,,
,951,,,,,,
,953,,,,,,
,954,,,,,,
,957,,,,,,
,958,,,,,,
,961,,,,,,
,963,,,,,,
,964,,,,,,
,965,,,,,,
,966,,,,,,
,967,,,,,,
,968,,,,,,
,969,,,,,,
,970,,,,,,
,971,,,,,,
,972,,,,,,
,973,,,,,,
,974,,,,,,
,975,,,,,,
,976,,,,,,
,979,,,,,,
,980,,,,,,
,981,,,,,,
,982,,,,,,
,983,,,,,,
,984,,,,,,
,985,,,,,,
,986,,,,,,
,987,,,,,,
,988,,,,,,
,994,,,,,,
,997,,,,,,
,999,,,,,,
,1000,,,,,,
,1001,,,,,,
,1002,,,,,,
,1003,,,,,,
,1004,,,,,,
,1005,,,,,,
,1006,,,,,,
,1007,,,,,,
,1008,,,,,,
,1009,,,,,,
,1010,,,,,,
,1011,,,,,,
,1012,,,,,,
,1017,,,,,,
,1025,,,,,,
,1026,,,,,,
,1027,,,,,,
,1028,,,,,,
,1029,,,,,,
,1030,,,,,,
,1046,,,,,,
,1047,,,,,,
,1049,,,,,,
,1050,,,,,,
,1051,,,,,,
,1052,,,,,,
,1053,,,,,,
,1054,,,,,,
,1055,,,,,,
,1056,,,,,,
,1057,,,,,,
,1060,,,,,,
,1061,,,,,,
,1062,,,,,,
,1063,,,,,,
,1064,,,,,,
,1065,,,,,,
,1067,,,,,,
,1068,,,,,,
,1071,,,,,,
,1075,,,,,,
,1076,,,,,,
,1077,,,,,,
,1078,,,,,,
,1079,,,,,,
,1080,,,,,,
,1081,,,,,,
,1082,,,,,,
,1083,,,,,,
,1084,,,,,,
,1085,,,,,,
,1086,,,,,,
,1087,,,,,,
,1088,,,,,,
,1089,,,,,,
,1090,,,,,,
,1091,,,,,,
,1092,,,,,,
,1093,,,,,,
,1094,,,,,,
,1095,,,,,,
,1096,,,,,,
,1097,,,,,,
,1108,,,,,,
,1116,,,,,,
,1117,,,,,,
,1118,,,,,,
,1119,,,,,,
,1120,,,,,,
,1121,,,,,,
,1124,,,,,,
,1125,,,,,,
,1126,,,,,,
,1127,,,,,,
,1128,,,,,,
,1130,,,,,,
,1131,,,,,,
,1133,,,,,,
,1135,,,,,,
,1139,,,,,,
,1140,,,,,,
,1142,,,,,,
,1143,,,,,,
,1144,,,,,,
,1147,,,,,,
,1148,,,,,,
,1151,,,,,,
,1152,,,,,,
,1153,,,,,,
,1154,,,,,,
,1157,,,,,,
,1158,,,,,,
,1159,,,,,,
,1160,,,,,,
,1161,,,,,,
,1164,,,,,,
,1166,,,,,,
,1167,,,,,,
,1171,,,,,,
,1172,,,,,,
,1174,,,,,,
,1175,,,,,,
,1178,,,,,,
,1179,,,,,,
,1182,,,,,,
,1183,,,,,,
,1184,,,,,,
,1185,,,,,,
,1187,,,,,,
,1190,,,,,,
,1192,,,,,,
,1196,,,,,,
,1198,,,,,,
,1199,,,,,,
,1200,,,,,,
,1202,,,,,,
,1207,,,,,,
,1212,,,,,,
,1216,,,,,,
,1217,,,,,,
,1220,,,,,,
,1222,,,,,,
,1223,,,,,,
,1224,,,,,,
,1225,,,,,,
,1228,,,,,,
,1229,,,,,,
,1230,,,,,,
,1231,,,,,,
,1232,,,,,,
,1235,,,,,,
,1236,,,,,,
,1238,,,,,,
,1239,,,,,,
,1240,,,,,,
,1242,,,,,,
,1244,,,,,,
,1247,,,,,,
,1248,,,,,,
,1249,,,,,,
,1251,,,,,,
,1253,,,,,,
,1256,,,,,,
,1257,,,,,,
,1258,,,,,,
,1259,,,,,,
,1260,,,,,,
,1262,,,,,,
,1263,,,,,,
,1264,,,,,,
,1265,,,,,,
,1266,,,,,,
,1267,,,,,,
,1268,,,,,,
,1269,,,,,,
,1270,,,,,,
,1271,,,,,,
,1275,,,,,,
,1276,,,,,,
,1278,,,,,,
,1279,,,,,,
,1280,,,,,,
,1291,,,,,,
,1292,,,,,,
,1293,,,,,,
,1295,,,,,,
,1300,,,,,,
,1301,,,,,,
,1303,,,,,,
,1305,,,,,,
,1314,,,,,,
,1317,,,,,,
,1325,,,,,,
,1326,,,,,,
,1327,,,,,,
,1328,,,,,,
,1331,,,,,,
,1332,,,,,,
,1333,,,,,,
,1334,,,,,,
,1335,,,,,,
,1336,,,,,,
,1337,,,,,,
,1338,,,,,,
,1339,,,,,,
,1344,,,,,,
,1348,,,,,,
,1350,,,,,,
,1353,,,,,,
,1360,,,,,,
,1367,,,,,,
,1372,,,,,,
,1374,,,,,,
,1375,,,,,,
,1378,,,,,,
,1380,,,,,,
,1381,,,,,,
,1382,,,,,,
,1383,,,,,,
,1386,,,,,,
,1387,,,,,,
,1391,,,,,,
,1393,,,,,,
,1397,,,,,,
,1398,,,,,,
,1399,,,,,,
,1400,,,,,,
,1401,,,,,,
,1402,,,,,,
,1403,,,,,,
,1404,,,,,,
,1413,,,,,,
,1414,,,,,,
,1415,,,,,,
,1416,,,,,,
,1419,,,,,,
,1420,,,,,,
,1421,,,,,,
,1422,,,,,,
,1423,,,,,,
,1424,,,,,,
,1431,,,,,,
,1432,,,,,,
,1435,,,,,,
,1436,,,,,,
,1437,,,,,,
,1438,,,,,,
,1439,,,,,,
,1440,,,,,,
,1443,,,,,,
,1444,,,,,,
,1462,,,,,,
,1463,,,,,,
,1464,,,,,,
,1465,,,,,,
,1466,,,,,,
,1467,,,,,,
,1470,,,,,,
,1471,,,,,,
,1472,,,,,,
,1473,,,,,,
,1474,,,,,,
,1475,,,,,,
,1477,,,,,,
,1478,,,,,,
,1479,,,,,,
,1484,,,,,,
,1485,,,,,,
,1486,,,,,,
,1487,,,,,,
,1488,,,,,,
,1489,,,,,,
,1490,,,,,,
,1491,,,,,,
,1492,,,,,,
,1493,,,,,,
,1494,,,,,,
,1495,,,,,,
,1496,,,,,,
,1497,,,,,,
,1498,,,,,,
,1499,,,,,,
,1500,,,,,,
,1501,,,,,,
,1502,,,,,,
,1503,,,,,,
,1504,,,,,,
,1505,,,,,,
,1506,,,,,,
,1507,,,,,,
,1508,,,,,,
,1509,,,,,,
,1510,,,,,,
,1511,,,,,,
,1512,,,,,,
,1513,,,,,,
,1514,,,,,,
,1515,,,,,,
,1516,,,,,,
,1517,,,,,,
,1518,,,,,,
,1519,,,,,,
,1520,,,,,,
,1521,,,,,,
,1522,,,,,,
,1523,,,,,,
,1524,,,,,,
,1525,,,,,,
,1526,,,,,,
,1527,,,,,,
,1528,,,,,,
,1529,,,,,,
,1530,,,,,,
,1531,,,,,,
,1532,,,,,,
